Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	16.86	#00E1AA	Lee Filters	Jade	323
410	17.138				
415	16.992				
420	16.719				
425	16.485				
430	16.781				
435	18.004				
440	19.627				
445	21.642				
450	24.4				
455	28.032				
460	32.876				
465	39.132				
470	46.552				
475	55.102				
480	63.303				
485	68.889				
490	71.273				
495	72.261				
500	73.055				
505	73.443				
510	71.854				
515	68.752				
520	65.368				
525	62.209				
530	59.231				
535	55.173				
540	49.59				
545	43.468				
550	37.274				
555	31.082				
560	25.139				
565	19.339				
570	14.328				
575	10.464				
580	7.556				
585	5.508				
590	3.915				
595	2.676				
600	1.774				
605	1.208				
610	0.886				
615	0.725				
620	0.65				
625	0.643				
630	0.685				
635	0.775				
640	0.89				
645	0.992				
650	1.032				
655	0.968				
660	0.812				
665	0.659				
670	0.607				
675	0.648				
680	0.863				
685	1.396				
690	2.479				
695	4.286				
700	6.902				
705	18.585				
710	28.626				
715	37.255				
720	44.67				
725	51.044				
730	56.521				
735	61.228				
740	65.273				
745	68.749				
750	71.737				
755	74.305				
760	76.511				
765	78.408				
770	80.038				
775	81.438				
780	82.642				
785	83.677				
790	84.566				
795	85.33				
800	85.863				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
