Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	20.86	#FF3787	Lee Filters	Special Rose Pink	332
410	20.952				
415	21.389				
420	21.523				
425	21.199				
430	20.904				
435	20.884				
440	20.549				
445	19.668				
450	18.187				
455	16.339				
460	14.186				
465	12.063				
470	9.979				
475	8.002				
480	6.191				
485	4.626				
490	3.366				
495	2.374				
500	1.588				
505	0.975				
510	0.551				
515	0.307				
520	0.187				
525	0.137				
530	0.123				
535	0.117				
540	0.103				
545	0.074				
550	0.042				
555	0.021				
560	0.014				
565	0.016				
570	0.025				
575	0.067				
580	0.28				
585	0.97				
590	3.463				
595	9.757				
600	20.81				
605	34.132				
610	47.214				
615	58.109				
620	66.069				
625	70.868				
630	73.396				
635	75.077				
640	76.465				
645	78.213				
650	80.15				
655	82.057				
660	83.6				
665	84.462				
670	84.661				
675	84.27				
680	83.777				
685	83.392				
690	83.351				
695	83.563				
700	84.113				
705	84.125				
710	84.147				
715	84.187				
720	84.259				
725	84.386				
730	84.606				
735	84.966				
740	85.516				
745	86.264				
750	87.138				
755	87.998				
760	88.709				
765	89.218				
770	89.546				
775	89.743				
780	89.857				
785	89.921				
790	89.957				
795	89.976				
800	89.985				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
