Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	33.893	#8C00D2	Lee Filters	Special Medium Lavender	343
410	37.501				
415	39.014				
420	40.973				
425	45.266				
430	49.186				
435	50.613				
440	50.986				
445	52.293				
450	52.231				
455	49.468				
460	45.67				
465	42.721				
470	39.614				
475	35.734				
480	31.273				
485	26.694				
490	22.414				
495	18.168				
500	14.023				
505	10.428				
510	7.604				
515	5.624				
520	4.281				
525	3.263				
530	2.412				
535	1.708				
540	1.155				
545	0.786				
550	0.553				
555	0.431				
560	0.384				
565	0.383				
570	0.427				
575	0.52				
580	0.718				
585	1.054				
590	1.662				
595	2.512				
600	3.35				
605	3.754				
610	3.563				
615	3.029				
620	2.521				
625	2.296				
630	2.49				
635	3.394				
640	5.579				
645	9.904				
650	17.315				
655	27.583				
660	39.388				
665	50.232				
670	59.279				
675	66.037				
680	71.8				
685	76.315				
690	80.182				
695	83.226				
700	84.981				
705	85.687				
710	86.293				
715	86.814				
720	87.262				
725	87.647				
730	87.978				
735	88.262				
740	88.507				
745	88.716				
750	88.897				
755	89.052				
760	89.185				
765	89.3				
770	89.398				
775	89.483				
780	89.556				
785	89.618				
790	89.672				
795	89.718				
800	89.75				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
