Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	46.511	#CD6ED7	Lee Filters	Fuchsia Pink	345
410	47.76				
415	50.552				
420	53.024				
425	53.294				
430	52.549				
435	53.622				
440	55.431				
445	55.896				
450	53.667				
455	50.628				
460	48.447				
465	47.121				
470	44.888				
475	41.285				
480	37.059				
485	33.254				
490	29.888				
495	26.592				
500	22.826				
505	18.726				
510	15.036				
515	12.341				
520	10.722				
525	9.841				
530	9.235				
535	8.364				
540	7.017				
545	5.461				
550	4.149				
555	3.378				
560	3.233				
565	3.732				
570	5.083				
575	7.592				
580	11.67				
585	16.745				
590	21.836				
595	25.498				
600	27.142				
605	27.414				
610	27.288				
615	27.086				
620	26.861				
625	26.664				
630	26.667				
635	26.796				
640	26.91				
645	26.708				
650	25.743				
655	23.618				
660	20.205				
665	16.845				
670	15.123				
675	14.621				
680	15.814				
685	19.51				
690	25.378				
695	32.134				
700	38.688				
705	45.902				
710	52.102				
715	57.43				
720	62.01				
725	65.945				
730	69.327				
735	72.233				
740	74.731				
745	76.878				
750	78.723				
755	80.308				
760	81.671				
765	82.842				
770	83.848				
775	84.713				
780	85.457				
785	86.095				
790	86.644				
795	87.116				
800	87.445				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
