Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	48.762	#5AC8E1	Lee Filters	Glacier Blue	352
410	52.185				
415	54.714				
420	57.748				
425	61.003				
430	63.793				
435	66.492				
440	68.534				
445	69.783				
450	70.36				
455	70.641				
460	70.866				
465	70.844				
470	69.65				
475	68.059				
480	66.953				
485	65.65				
490	63.55				
495	60.354				
500	56.645				
505	53.362				
510	50.751				
515	47.989				
520	44.07				
525	39.069				
530	34.141				
535	30.004				
540	27.046				
545	24.918				
550	22.825				
555	20.071				
560	16.78				
565	13.269				
570	10.344				
575	8.377				
580	7.198				
585	6.734				
590	6.653				
595	6.509				
600	6.054				
605	5.308				
610	4.521				
615	3.864				
620	3.4				
625	3.263				
630	3.524				
635	4.335				
640	5.81				
645	7.864				
650	10.143				
655	11.798				
660	12.091				
665	11.442				
670	11.165				
675	11.666				
680	13.466				
685	17.433				
690	23.687				
695	31.098				
700	38.88				
705	46.067				
710	52.244				
715	57.552				
720	62.114				
725	66.035				
730	69.404				
735	72.3				
740	74.788				
745	76.927				
750	78.765				
755	80.345				
760	81.702				
765	82.869				
770	83.871				
775	84.733				
780	85.474				
785	86.11				
790	86.657				
795	87.127				
800	87.455				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
