Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	46.344	#00F0D7	Lee Filters	Special Steel Blue	354
410	49.575				
415	53.075				
420	57.157				
425	58.006				
430	58.887				
435	62.826				
440	65.855				
445	65.824				
450	66.631				
455	69.213				
460	71.17				
465	71.539				
470	71.812				
475	73.939				
480	76.643				
485	77.515				
490	76.784				
495	76.542				
500	77.314				
505	77.485				
510	76.1				
515	73.548				
520	70.855				
525	68.11				
530	65.171				
535	61.231				
540	56.494				
545	51.179				
550	45.288				
555	38.882				
560	32.45				
565	26.21				
570	20.599				
575	16.075				
580	12.345				
585	9.52				
590	7.195				
595	5.204				
600	3.664				
605	2.655				
610	2.063				
615	1.763				
620	1.626				
625	1.612				
630	1.701				
635	1.87				
640	2.083				
645	2.241				
650	2.257				
655	2.041				
660	1.642				
665	1.268				
670	1.115				
675	1.137				
680	1.419				
685	2.206				
690	3.81				
695	6.386				
700	10.002				
705	21.249				
710	30.915				
715	39.222				
720	46.361				
725	52.497				
730	57.77				
735	62.301				
740	66.195				
745	69.542				
750	72.418				
755	74.89				
760	77.015				
765	78.84				
770	80.409				
775	81.758				
780	82.917				
785	83.912				
790	84.768				
795	85.504				
800	86.017				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
