Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	36.401	#AAD2F0	Lee Filters	Cornflower	366
410	39.538				
415	41.136				
420	41.493				
425	43.658				
430	46.569				
435	47.858				
440	47.117				
445	47.334				
450	48.664				
455	49.291				
460	48.538				
465	48.188				
470	48.84				
475	49.904				
480	49.867				
485	48.532				
490	46.759				
495	44.954				
500	42.791				
505	39.759				
510	35.917				
515	31.742				
520	27.917				
525	24.44				
530	21.39				
535	18.435				
540	15.639				
545	12.954				
550	10.348				
555	8.11				
560	6.579				
565	5.75				
570	5.533				
575	5.803				
580	6.514				
585	7.61				
590	9.03				
595	10.254				
600	10.688				
605	10.236				
610	9.221				
615	8.067				
620	7.111				
625	6.702				
630	7.105				
635	8.58				
640	11.425				
645	15.5				
650	20.104				
655	23.514				
660	24.231				
665	22.842				
670	22.101				
675	22.498				
680	24.869				
685	30.495				
690	39.049				
695	48.202				
700	56.508				
705	61.217				
710	65.264				
715	68.741				
720	71.73				
725	74.299				
730	76.506				
735	78.404				
740	80.034				
745	81.435				
750	82.639				
755	83.674				
760	84.564				
765	85.328				
770	85.985				
775	86.549				
780	87.034				
785	87.451				
790	87.81				
795	88.118				
800	88.333				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
