Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	15.557	#FAC084	Lee Filters	Full C.T. Straw	441
410	13.127				
415	11.318				
420	9.948				
425	9.086				
430	8.652				
435	8.774				
440	9.377				
445	10.412				
450	11.866				
455	13.937				
460	17.099				
465	21.694				
470	27.861				
475	34.4				
480	39.412				
485	42.235				
490	43.536				
495	44.369				
500	45.064				
505	44.916				
510	44.028				
515	42.741				
520	41.848				
525	41.848				
530	43.129				
535	45.028				
540	47.127				
545	48.595				
550	48.96				
555	48.517				
560	48.747				
565	50.188				
570	53.928				
575	60.38				
580	68.222				
585	74.862				
590	79.556				
595	81.402				
600	81.741				
605	81.539				
610	80.92				
615	81.256				
620	82.515				
625	84.399				
630	86.123				
635	87.755				
640	88.542				
645	88.744				
650	88.119				
655	87.089				
660	86.076				
665	85.558				
670	85.766				
675	86.277				
680	87.75				
685	89.294				
690	90.922				
695	92.246				
700	93.151				
705	92.708				
710	92.327				
715	92.0				
720	91.719				
725	91.477				
730	91.27				
735	91.091				
740	90.938				
745	90.806				
750	90.693				
755	90.595				
760	90.511				
765	90.44				
770	90.378				
775	90.325				
780	90.279				
785	90.24				
790	90.206				
795	90.177				
800	90.157				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
