Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	54.763	#FCEFDB	Lee Filters	Quarter C.T. Straw	443
410	54.1				
415	53.273				
420	50.843				
425	48.845				
430	48.788				
435	50.465				
440	51.748				
445	52.607				
450	53.637				
455	56.11				
460	59.788				
465	64.015				
470	67.818				
475	71.034				
480	73.687				
485	75.409				
490	75.785				
495	75.289				
500	74.869				
505	75.312				
510	76.106				
515	76.61				
520	76.131				
525	74.759				
530	74.008				
535	73.736				
540	74.772				
545	76.747				
550	78.5				
555	78.805				
560	78.473				
565	77.686				
570	77.38				
575	78.604				
580	80.799				
585	83.276				
590	85.699				
595	87.277				
600	88.008				
605	87.815				
610	86.879				
615	86.009				
620	85.594				
625	85.592				
630	86.096				
635	86.701				
640	87.351				
645	87.842				
650	88.204				
655	88.324				
660	88.215				
665	88.351				
670	88.729				
675	88.959				
680	89.511				
685	89.901				
690	90.375				
695	90.327				
700	90.128				
705	90.11				
710	90.095				
715	90.081				
720	90.07				
725	90.06				
730	90.052				
735	90.044				
740	90.038				
745	90.033				
750	90.028				
755	90.024				
760	90.021				
765	90.018				
770	90.015				
775	90.013				
780	90.011				
785	90.01				
790	90.008				
795	90.007				
800	90.006				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
