Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	82.356	#F4FAFF	Lee Filters	Quarter New Colour Blue	503
410	81.061				
415	82.981				
420	86.189				
425	87.241				
430	85.813				
435	84.816				
440	85.481				
445	87.038				
450	88.256				
455	87.836				
460	86.857				
465	86.524				
470	86.143				
475	86.504				
480	86.254				
485	85.877				
490	85.318				
495	84.879				
500	84.52				
505	83.766				
510	82.294				
515	80.687				
520	79.049				
525	77.957				
530	77.493				
535	77.416				
540	76.543				
545	75.171				
550	73.107				
555	70.753				
560	68.844				
565	68.041				
570	68.304				
575	69.282				
580	70.958				
585	72.841				
590	74.364				
595	74.449				
600	73.373				
605	71.66				
610	69.941				
615	68.61				
620	67.695				
625	67.869				
630	69.079				
635	71.403				
640	74.23				
645	77.172				
650	78.727				
655	78.659				
660	76.471				
665	72.781				
670	70.839				
675	70.177				
680	71.352				
685	75.094				
690	79.355				
695	82.666				
700	85.871				
705	86.452				
710	86.95				
715	87.379				
720	87.748				
725	88.064				
730	88.336				
735	88.57				
740	88.771				
745	88.944				
750	89.093				
755	89.22				
760	89.33				
765	89.424				
770	89.505				
775	89.575				
780	89.634				
785	89.686				
790	89.73				
795	89.768				
800	89.794				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
