Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	50.256	#8EB4FA	Lee Filters	Argent Blue	525
410	55.73				
415	59.03				
420	61.088				
425	64.941				
430	71.833				
435	76.468				
440	76.38				
445	75.447				
450	76.652				
455	77.969				
460	76.742				
465	73.314				
470	70.332				
475	68.22				
480	65.918				
485	62.454				
490	57.863				
495	53.315				
500	48.919				
505	44.671				
510	40.346				
515	35.754				
520	30.784				
525	25.725				
530	21.135				
535	17.481				
540	14.892				
545	13.237				
550	11.805				
555	10.174				
560	8.149				
565	6.12				
570	4.442				
575	3.388				
580	2.93				
585	3.008				
590	3.516				
595	4.236				
600	4.765				
605	4.745				
610	4.18				
615	3.4				
620	2.785				
625	2.532				
630	2.818				
635	3.915				
640	6.533				
645	11.521				
650	19.947				
655	31.074				
660	43.706				
665	55.351				
670	65.665				
675	73.495				
680	79.765				
685	83.899				
690	86.884				
695	88.891				
700	90.419				
705	90.36				
710	90.309				
715	90.266				
720	90.229				
725	90.196				
730	90.169				
735	90.145				
740	90.125				
745	90.107				
750	90.092				
755	90.079				
760	90.068				
765	90.058				
770	90.05				
775	90.043				
780	90.037				
785	90.032				
790	90.027				
795	90.024				
800	90.021				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
