Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	3.168	#e8d93e	Lee Filters	ALD Gold	550
410	2.528				
415	2.084				
420	1.759				
425	1.554				
430	1.442				
435	1.428				
440	1.516				
445	1.702				
450	2.011				
455	2.51				
460	3.39				
465	4.878				
470	7.255				
475	10.66				
480	14.42				
485	18.085				
490	21.354				
495	24.306				
500	27.028				
505	29.028				
510	30.303				
515	31.222				
520	32.285				
525	33.753				
530	35.702				
535	37.656				
540	39.091				
545	40.042				
550	40.92				
555	42.72				
560	45.673				
565	49.756				
570	54.934				
575	60.11				
580	64.399				
585	67.064				
590	68.242				
595	68.253				
600	67.395				
605	66.596				
610	66.111				
615	66.008				
620	65.719				
625	65.423				
630	65.209				
635	65.615				
640	66.018				
645	66.425				
650	66.189				
655	64.657				
660	60.836				
665	56.385				
670	54.111				
675	53.421				
680	54.906				
685	59.565				
690	65.76				
695	71.763				
700	76.427				
705	78.335				
710	79.975				
715	81.385				
720	82.596				
725	83.637				
730	84.532				
735	85.3				
740	85.961				
745	86.529				
750	87.017				
755	87.436				
760	87.797				
765	88.107				
770	88.373				
775	88.602				
780	88.798				
785	88.967				
790	89.112				
795	89.237				
800	89.324				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
