Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	14.187	#f5fcfd	Lee Filters	– Arctic White	600
410	15.902				
415	17.151				
420	17.932				
425	18.67				
430	19.623				
435	20.607				
440	20.966				
445	21.079				
450	21.358				
455	21.594				
460	21.446				
465	20.927				
470	19.947				
475	19.014				
480	18.31				
485	17.61				
490	16.758				
495	15.741				
500	14.759				
505	13.85				
510	13.157				
515	12.468				
520	11.796				
525	11.178				
530	10.514				
535	10.036				
540	9.667				
545	9.377				
550	9.13				
555	8.845				
560	8.44				
565	8.0				
570	7.658				
575	7.442				
580	7.38				
585	7.392				
590	7.408				
595	7.324				
600	7.006				
605	6.592				
610	6.297				
615	6.122				
620	6.107				
625	6.196				
630	6.481				
635	6.917				
640	7.411				
645	7.85				
650	7.944				
655	7.448				
660	6.334				
665	5.147				
670	4.579				
675	4.614				
680	5.489				
685	7.748				
690	11.73				
695	17.253				
700	24.011				
705	33.289				
710	41.262				
715	48.114				
720	54.003				
725	59.064				
730	63.414				
735	67.152				
740	70.364				
745	73.125				
750	75.497				
755	77.536				
760	79.289				
765	80.795				
770	82.089				
775	83.201				
780	84.157				
785	84.978				
790	85.684				
795	86.291				
800	86.715				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
