Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.033	#968200	Lee Filters	Half Mustard Yellow	642
410	0.023				
415	0.019				
420	0.017				
425	0.018				
430	0.016				
435	0.015				
440	0.015				
445	0.013				
450	0.011				
455	0.011				
460	0.011				
465	0.012				
470	0.015				
475	0.02				
480	0.028				
485	0.034				
490	0.056				
495	0.109				
500	0.221				
505	0.45				
510	0.832				
515	1.484				
520	2.41				
525	3.571				
530	4.782				
535	5.875				
540	7.073				
545	9.094				
550	12.481				
555	17.649				
560	23.328				
565	27.809				
570	29.692				
575	29.379				
580	27.877				
585	25.893				
590	23.405				
595	20.501				
600	17.371				
605	14.656				
610	12.796				
615	11.71				
620	11.125				
625	10.893				
630	11.094				
635	11.512				
640	12.026				
645	12.358				
650	12.125				
655	11.052				
660	9.262				
665	7.257				
670	6.118				
675	5.792				
680	6.337				
685	8.247				
690	12.014				
695	17.582				
700	23.918				
705	33.209				
710	41.193				
715	48.055				
720	53.953				
725	59.021				
730	63.376				
735	67.119				
740	70.336				
745	73.101				
750	75.477				
755	77.519				
760	79.274				
765	80.782				
770	82.078				
775	83.192				
780	84.149				
785	84.971				
790	85.678				
795	86.286				
800	86.71				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
