Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	8.554	#C8A862	Lee Filters	Industry Sodium	650
410	7.114				
415	6.054				
420	5.311				
425	4.855				
430	4.68				
435	4.821				
440	5.241				
445	5.957				
450	7.025				
455	8.568				
460	10.887				
465	14.209				
470	18.434				
475	22.935				
480	26.78				
485	29.27				
490	30.406				
495	30.373				
500	29.752				
505	29.035				
510	28.295				
515	27.886				
520	27.902				
525	28.274				
530	29.059				
535	29.81				
540	30.252				
545	30.45				
550	30.679				
555	31.364				
560	33.041				
565	35.58				
570	38.766				
575	41.881				
580	44.22				
585	45.304				
590	44.883				
595	43.24				
600	40.905				
605	38.905				
610	37.696				
615	37.054				
620	36.823				
625	36.813				
630	37.107				
635	37.773				
640	38.243				
645	38.594				
650	37.899				
655	35.628				
660	31.758				
665	27.955				
670	26.253				
675	26.001				
680	27.895				
685	33.089				
690	40.772				
695	48.658				
700	55.436				
705	60.296				
710	64.472				
715	68.061				
720	71.145				
725	73.796				
730	76.074				
735	78.032				
740	79.715				
745	81.161				
750	82.404				
755	83.472				
760	84.39				
765	85.178				
770	85.856				
775	86.439				
780	86.94				
785	87.37				
790	87.74				
795	88.057				
800	88.279				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
