Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	2.611	#FF8246	Lee Filters	Urban Sodium	652
410	1.934				
415	1.464				
420	1.148				
425	0.955				
430	0.854				
435	0.834				
440	0.896				
445	1.016				
450	1.223				
455	1.543				
460	2.085				
465	2.979				
470	4.37				
475	6.175				
480	7.986				
485	9.311				
490	9.985				
495	10.159				
500	9.973				
505	9.549				
510	8.951				
515	8.383				
520	8.033				
525	8.067				
530	8.504				
535	9.252				
540	10.118				
545	10.727				
550	10.853				
555	10.78				
560	11.263				
565	13.136				
570	17.527				
575	24.669				
580	33.427				
585	40.641				
590	45.205				
595	47.539				
600	48.604				
605	49.184				
610	49.663				
615	49.871				
620	49.627				
625	49.113				
630	48.567				
635	48.446				
640	48.676				
645	49.336				
650	50.405				
655	50.995				
660	50.557				
665	49.391				
670	48.759				
675	48.581				
680	49.813				
685	52.69				
690	56.899				
695	61.0				
700	64.413				
705	68.01				
710	71.102				
715	73.759				
720	76.042				
725	78.005				
730	79.691				
735	81.141				
740	82.386				
745	83.457				
750	84.377				
755	85.167				
760	85.847				
765	86.431				
770	86.932				
775	87.364				
780	87.734				
785	88.053				
790	88.327				
795	88.562				
800	88.726				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
