Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.01	#965500	Lee Filters	LO Sodium	653
410	0.01				
415	0.01				
420	0.01				
425	0.01				
430	0.01				
435	0.01				
440	0.01				
445	0.01				
450	0.01				
455	0.01				
460	0.01				
465	0.01				
470	0.022				
475	0.048				
480	0.095				
485	0.175				
490	0.293				
495	0.44				
500	0.599				
505	0.773				
510	0.932				
515	1.084				
520	1.23				
525	1.342				
530	1.417				
535	1.461				
540	1.515				
545	1.628				
550	1.817				
555	2.059				
560	2.303				
565	2.483				
570	2.651				
575	2.816				
580	3.031				
585	3.253				
590	3.513				
595	3.747				
600	3.902				
605	4.003				
610	4.109				
615	4.237				
620	4.381				
625	4.562				
630	4.826				
635	5.226				
640	5.722				
645	6.236				
650	6.607				
655	6.51				
660	5.844				
665	4.971				
670	4.576				
675	4.716				
680	5.643				
685	7.998				
690	12.482				
695	18.99				
700	26.754				
705	35.646				
710	43.288				
715	49.855				
720	55.5				
725	60.35				
730	64.519				
735	68.101				
740	71.18				
745	73.826				
750	76.1				
755	78.054				
760	79.734				
765	81.177				
770	82.418				
775	83.484				
780	84.4				
785	85.187				
790	85.864				
795	86.445				
800	86.851				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
