Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	32.216	#7D00CD	Lee Filters	Perfect Lavender	700
410	35.433				
415	38.703				
420	41.482				
425	44.598				
430	48.514				
435	51.629				
440	53.176				
445	53.17				
450	52.16				
455	50.214				
460	47.332				
465	43.61				
470	39.679				
475	35.489				
480	31.129				
485	26.627				
490	21.961				
495	17.438				
500	13.332				
505	9.907				
510	7.18				
515	5.263				
520	3.847				
525	2.828				
530	1.972				
535	1.328				
540	0.879				
545	0.587				
550	0.423				
555	0.339				
560	0.308				
565	0.312				
570	0.339				
575	0.398				
580	0.536				
585	0.758				
590	1.157				
595	1.733				
600	2.252				
605	2.476				
610	2.277				
615	1.886				
620	1.545				
625	1.416				
630	1.593				
635	2.315				
640	4.091				
645	7.872				
650	14.75				
655	24.959				
660	37.184				
665	49.231				
670	59.6				
675	67.87				
680	74.324				
685	79.221				
690	83.37				
695	86.045				
700	87.77				
705	88.084				
710	88.353				
715	88.585				
720	88.784				
725	88.955				
730	89.102				
735	89.228				
740	89.336				
745	89.43				
750	89.51				
755	89.579				
760	89.638				
765	89.689				
770	89.733				
775	89.77				
780	89.803				
785	89.83				
790	89.854				
795	89.875				
800	89.889				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
