Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	51.653	#D282DC	Lee Filters	Cold Lavender	703
410	54.689				
415	56.692				
420	57.551				
425	57.794				
430	58.566				
435	59.897				
440	61.127				
445	61.07				
450	59.585				
455	57.714				
460	55.982				
465	54.539				
470	52.623				
475	49.937				
480	46.437				
485	42.993				
490	39.647				
495	36.489				
500	32.883				
505	28.942				
510	24.909				
515	21.545				
520	19.239				
525	17.909				
530	17.03				
535	15.965				
540	14.161				
545	11.737				
550	9.37				
555	7.739				
560	7.142				
565	7.705				
570	9.61				
575	13.007				
580	17.935				
585	23.211				
590	27.932				
595	30.98				
600	31.915				
605	31.618				
610	31.023				
615	30.416				
620	30.044				
625	29.923				
630	30.005				
635	30.253				
640	30.521				
645	30.676				
650	30.199				
655	28.815				
660	26.084				
665	22.787				
670	20.811				
675	20.445				
680	21.949				
685	25.623				
690	30.871				
695	36.527				
700	42.079				
705	48.816				
710	54.607				
715	59.583				
720	63.859				
725	67.535				
730	70.693				
735	73.408				
740	75.74				
745	77.745				
750	79.468				
755	80.949				
760	82.221				
765	83.315				
770	84.255				
775	85.063				
780	85.757				
785	86.353				
790	86.866				
795	87.307				
800	87.614				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
