Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	73.163	#F0AAFA	Lee Filters	Lily	704
410	72.689				
415	75.91				
420	78.238				
425	77.657				
430	77.425				
435	80.47				
440	82.375				
445	80.59				
450	78.195				
455	78.229				
460	79.072				
465	77.577				
470	73.765				
475	70.57				
480	69.297				
485	68.347				
490	65.274				
495	60.467				
500	55.416				
505	51.237				
510	47.958				
515	44.867				
520	41.695				
525	38.658				
530	35.708				
535	32.9				
540	30.104				
545	27.429				
550	25.057				
555	23.588				
560	23.374				
565	24.256				
570	26.172				
575	28.985				
580	32.656				
585	36.942				
590	41.491				
595	45.097				
600	47.18				
605	47.416				
610	46.419				
615	45.163				
620	44.194				
625	44.255				
630	45.961				
635	49.697				
640	55.125				
645	61.124				
650	67.232				
655	72.812				
660	77.495				
665	81.784				
670	85.675				
675	88.658				
680	90.709				
685	91.653				
690	91.457				
695	90.544				
700	89.341				
705	89.342				
710	89.344				
715	89.349				
720	89.357				
725	89.371				
730	89.396				
735	89.436				
740	89.498				
745	89.582				
750	89.68				
755	89.776				
760	89.855				
765	89.912				
770	89.949				
775	89.971				
780	89.984				
785	89.991				
790	89.995				
795	89.997				
800	89.998				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
