Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	33.162	#6E46C8	Lee Filters	King Fals Lavender	706
410	35.761				
415	37.633				
420	39.497				
425	40.749				
430	41.71				
435	43.054				
440	44.554				
445	44.463				
450	42.906				
455	40.969				
460	38.998				
465	36.899				
470	33.51				
475	29.681				
480	26.161				
485	23.089				
490	20.159				
495	17.004				
500	13.732				
505	10.456				
510	7.779				
515	5.843				
520	4.588				
525	3.874				
530	3.448				
535	3.013				
540	2.349				
545	1.539				
550	0.915				
555	0.56				
560	0.418				
565	0.432				
570	0.631				
575	1.126				
580	2.159				
585	3.831				
590	5.695				
595	7.03				
600	7.356				
605	6.912				
610	6.384				
615	5.981				
620	5.733				
625	5.703				
630	5.956				
635	6.516				
640	7.235				
645	7.887				
650	8.048				
655	7.429				
660	6.047				
665	4.521				
670	3.716				
675	3.547				
680	4.065				
685	5.947				
690	9.679				
695	15.191				
700	22.043				
705	31.597				
710	39.809				
715	46.865				
720	52.93				
725	58.142				
730	62.621				
735	66.47				
740	69.778				
745	72.621				
750	75.065				
755	77.165				
760	78.969				
765	80.52				
770	81.853				
775	82.998				
780	83.983				
785	84.829				
790	85.556				
795	86.181				
800	86.617				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
