Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	70.153	#DCEBFA	Lee Filters	Cool Lavender	708
410	73.003				
415	73.905				
420	73.804				
425	74.676				
430	77.216				
435	79.01				
440	78.899				
445	78.448				
450	78.961				
455	79.954				
460	80.278				
465	79.775				
470	78.666				
475	77.392				
480	76.866				
485	76.106				
490	75.046				
495	73.349				
500	71.297				
505	68.723				
510	66.232				
515	63.554				
520	60.951				
525	58.591				
530	56.096				
535	53.555				
540	50.459				
545	47.108				
550	43.892				
555	40.83				
560	38.743				
565	37.718				
570	37.924				
575	38.735				
580	39.884				
585	41.111				
590	42.241				
595	42.708				
600	42.319				
605	41.377				
610	40.341				
615	39.018				
620	38.159				
625	37.78				
630	38.36				
635	40.511				
640	43.665				
645	47.234				
650	49.982				
655	51.546				
660	50.881				
665	48.549				
670	47.401				
675	48.35				
680	51.359				
685	57.579				
690	64.953				
695	71.085				
700	75.021				
705	77.127				
710	78.937				
715	80.492				
720	81.829				
725	82.978				
730	83.965				
735	84.814				
740	85.543				
745	86.169				
750	86.708				
755	87.171				
760	87.569				
765	87.91				
770	88.204				
775	88.457				
780	88.674				
785	88.86				
790	89.02				
795	89.158				
800	89.254				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
