Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	57.692	#C8C8FA	Lee Filters	Electric Lilac	709
410	60.689				
415	64.358				
420	66.046				
425	65.524				
430	65.744				
435	68.842				
440	72.193				
445	73.386				
450	71.639				
455	69.649				
460	69.407				
465	71.001				
470	72.268				
475	70.89				
480	67.766				
485	64.075				
490	61.736				
495	60.621				
500	59.802				
505	57.506				
510	53.929				
515	49.711				
520	45.287				
525	41.649				
530	38.878				
535	36.387				
540	34.124				
545	31.905				
550	29.53				
555	26.771				
560	24.272				
565	22.306				
570	20.961				
575	20.465				
580	20.974				
585	22.444				
590	24.788				
595	27.044				
600	28.381				
605	28.274				
610	26.904				
615	25.017				
620	23.415				
625	23.111				
630	24.377				
635	27.937				
640	34.044				
645	42.234				
650	51.379				
655	60.457				
660	67.577				
665	72.869				
670	76.387				
675	78.605				
680	80.284				
685	82.102				
690	83.926				
695	86.114				
700	88.058				
705	88.331				
710	88.566				
715	88.767				
720	88.941				
725	89.09				
730	89.218				
735	89.328				
740	89.422				
745	89.503				
750	89.573				
755	89.633				
760	89.685				
765	89.729				
770	89.767				
775	89.8				
780	89.828				
785	89.852				
790	89.873				
795	89.891				
800	89.903				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
