Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	27.372	#5A91D2	Lee Filters	Elysian Blue	714
410	31.089				
415	34.48				
420	37.634				
425	40.424				
430	43.441				
435	46.734				
440	48.819				
445	50.065				
450	50.732				
455	50.9				
460	50.318				
465	48.968				
470	47.087				
475	44.596				
480	41.814				
485	38.154				
490	34.258				
495	30.185				
500	25.942				
505	21.59				
510	17.268				
515	13.423				
520	10.342				
525	8.103				
530	6.434				
535	5.018				
540	3.744				
545	2.604				
550	1.684				
555	1.071				
560	0.744				
565	0.628				
570	0.647				
575	0.769				
580	0.99				
585	1.276				
590	1.62				
595	1.875				
600	1.919				
605	1.752				
610	1.499				
615	1.253				
620	1.052				
625	0.961				
630	1.003				
635	1.241				
640	1.755				
645	2.563				
650	3.583				
655	4.423				
660	4.629				
665	4.244				
670	3.999				
675	4.095				
680	4.65				
685	6.315				
690	9.666				
695	14.606				
700	20.256				
705	30.062				
710	38.489				
715	45.731				
720	51.955				
725	57.304				
730	61.901				
735	65.851				
740	69.247				
745	72.164				
750	74.672				
755	76.827				
760	78.679				
765	80.271				
770	81.639				
775	82.814				
780	83.825				
785	84.693				
790	85.439				
795	86.08				
800	86.528				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
