Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	34.478	#3C6EDC	Lee Filters	Cabana Blue	715
410	39.169				
415	43.209				
420	47.774				
425	53.148				
430	57.886				
435	62.925				
440	65.861				
445	66.285				
450	65.275				
455	63.72				
460	60.621				
465	57.075				
470	53.422				
475	49.316				
480	44.506				
485	39.269				
490	33.867				
495	28.419				
500	23.329				
505	18.713				
510	14.853				
515	11.527				
520	8.744				
525	6.381				
530	4.499				
535	3.169				
540	2.257				
545	1.644				
550	1.201				
555	0.867				
560	0.621				
565	0.45				
570	0.336				
575	0.278				
580	0.268				
585	0.316				
590	0.435				
595	0.597				
600	0.718				
605	0.707				
610	0.582				
615	0.43				
620	0.316				
625	0.27				
630	0.305				
635	0.486				
640	1.006				
645	2.299				
650	5.036				
655	9.3				
660	13.873				
665	16.919				
670	19.1				
675	21.396				
680	24.875				
685	31.07				
690	40.024				
695	49.643				
700	57.996				
705	62.496				
710	66.363				
715	69.686				
720	72.542				
725	74.996				
730	77.106				
735	78.919				
740	80.477				
745	81.816				
750	82.966				
755	83.955				
760	84.805				
765	85.535				
770	86.163				
775	86.703				
780	87.166				
785	87.565				
790	87.907				
795	88.201				
800	88.407				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
