Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	31.262	#0082E6	Lee Filters	Berry Blue	721
410	36.573				
415	39.419				
420	42.435				
425	46.136				
430	48.8				
435	51.46				
440	53.322				
445	54.7				
450	54.709				
455	53.646				
460	52.404				
465	50.354				
470	46.66				
475	42.852				
480	39.699				
485	36.351				
490	32.128				
495	27.329				
500	22.285				
505	17.513				
510	13.329				
515	10.198				
520	8.173				
525	6.877				
530	5.844				
535	4.688				
540	3.315				
545	2.059				
550	1.175				
555	0.71				
560	0.512				
565	0.475				
570	0.541				
575	0.688				
580	0.877				
585	1.018				
590	1.034				
595	0.903				
600	0.698				
605	0.521				
610	0.402				
615	0.342				
620	0.319				
625	0.328				
630	0.359				
635	0.418				
640	0.489				
645	0.545				
650	0.563				
655	0.512				
660	0.413				
665	0.32				
670	0.28				
675	0.291				
680	0.376				
685	0.61				
690	1.116				
695	2.05				
700	3.565				
705	15.717				
710	26.161				
715	35.137				
720	42.85				
725	49.479				
730	55.176				
735	60.072				
740	64.28				
745	67.896				
750	71.004				
755	73.675				
760	75.97				
765	77.942				
770	79.638				
775	81.095				
780	82.347				
785	83.423				
790	84.347				
795	85.142				
800	85.697				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
