Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	15.469	#008CD2	Lee Filters	Bray Blue	722
410	19.084				
415	22.734				
420	26.711				
425	30.48				
430	34.999				
435	40.515				
440	43.924				
445	45.303				
450	46.435				
455	47.255				
460	46.122				
465	44.488				
470	43.036				
475	41.226				
480	38.107				
485	33.844				
490	29.601				
495	25.591				
500	21.864				
505	18.362				
510	15.132				
515	12.02				
520	8.91				
525	6.168				
530	4.088				
535	2.737				
540	1.935				
545	1.446				
550	1.073				
555	0.727				
560	0.418				
565	0.209				
570	0.1				
575	0.055				
580	0.033				
585	0.027				
590	0.026				
595	0.027				
600	0.025				
605	0.019				
610	0.013				
615	0.01				
620	0.01				
625	0.01				
630	0.01				
635	0.011				
640	0.024				
645	0.059				
650	0.143				
655	0.274				
660	0.376				
665	0.4				
670	0.406				
675	0.452				
680	0.604				
685	1.031				
690	2.124				
695	4.31				
700	7.863				
705	19.411				
710	29.336				
715	37.865				
720	45.195				
725	51.494				
730	56.908				
735	61.56				
740	65.559				
745	68.995				
750	71.948				
755	74.486				
760	76.667				
765	78.542				
770	80.153				
775	81.537				
780	82.727				
785	83.75				
790	84.628				
795	85.384				
800	85.911				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
