Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	29.792	#5082DC	Lee Filters	Virgin Blue	723
410	33.483				
415	36.502				
420	38.592				
425	41.05				
430	44.385				
435	46.579				
440	47.905				
445	49.507				
450	50.237				
455	48.854				
460	47.689				
465	46.902				
470	45.071				
475	41.302				
480	38.075				
485	35.126				
490	31.877				
495	27.488				
500	22.859				
505	18.486				
510	14.835				
515	11.893				
520	9.783				
525	8.127				
530	6.677				
535	5.289				
540	3.876				
545	2.671				
550	1.845				
555	1.381				
560	1.194				
565	1.212				
570	1.398				
575	1.713				
580	2.133				
585	2.582				
590	2.928				
595	3.0				
600	2.728				
605	2.337				
610	2.006				
615	1.736				
620	1.564				
625	1.492				
630	1.577				
635	1.83				
640	2.26				
645	2.754				
650	3.12				
655	3.039				
660	2.485				
665	1.874				
670	1.637				
675	1.649				
680	2.052				
685	3.334				
690	6.105				
695	10.629				
700	16.382				
705	26.732				
710	35.627				
715	43.272				
720	49.842				
725	55.488				
730	60.34				
735	64.51				
740	68.094				
745	71.174				
750	73.821				
755	76.095				
760	78.05				
765	79.73				
770	81.174				
775	82.415				
780	83.481				
785	84.398				
790	85.186				
795	85.862				
800	86.335				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
