Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	62.005	#69E1EB	Lee Filters	Ocean Blue	724
410	66.36				
415	67.833				
420	69.594				
425	73.668				
430	78.109				
435	80.543				
440	80.23				
445	80.203				
450	81.252				
455	82.06				
460	82.011				
465	81.075				
470	79.921				
475	78.845				
480	77.704				
485	75.836				
490	73.566				
495	71.427				
500	69.524				
505	67.476				
510	64.72				
515	60.95				
520	56.407				
525	51.764				
530	47.74				
535	44.409				
540	41.696				
545	39.261				
550	36.385				
555	32.587				
560	28.234				
565	23.824				
570	19.952				
575	17.039				
580	15.208				
585	14.333				
590	13.938				
595	13.273				
600	12.117				
605	10.758				
610	9.442				
615	8.354				
620	7.586				
625	7.28				
630	7.591				
635	8.666				
640	10.485				
645	12.668				
650	14.502				
655	15.018				
660	13.781				
665	12.025				
670	11.305				
675	11.444				
680	13.183				
685	17.516				
690	24.365				
695	32.205				
700	39.992				
705	47.023				
710	53.065				
715	58.258				
720	62.721				
725	66.556				
730	69.852				
735	72.685				
740	75.119				
745	77.211				
750	79.009				
755	80.555				
760	81.883				
765	83.024				
770	84.005				
775	84.848				
780	85.572				
785	86.195				
790	86.73				
795	87.189				
800	87.51				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
