Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	57.689	#DCFFE6	Lee Filters	Liberty Green	730
410	56.415				
415	55.678				
420	54.736				
425	54.177				
430	54.173				
435	55.434				
440	56.908				
445	58.887				
450	61.295				
455	64.118				
460	67.481				
465	71.649				
470	76.034				
475	80.076				
480	83.203				
485	84.603				
490	84.666				
495	84.526				
500	84.265				
505	83.794				
510	82.973				
515	81.805				
520	80.392				
525	78.968				
530	77.733				
535	76.518				
540	75.011				
545	73.155				
550	70.803				
555	68.031				
560	65.522				
565	62.668				
570	60.025				
575	57.745				
580	55.815				
585	54.349				
590	52.925				
595	51.259				
600	49.149				
605	47.112				
610	45.236				
615	43.81				
620	42.923				
625	42.69				
630	43.345				
635	45.124				
640	47.46				
645	49.781				
650	51.49				
655	52.089				
660	51.047				
665	49.488				
670	49.104				
675	49.771				
680	52.356				
685	56.942				
690	62.405				
695	67.279				
700	70.942				
705	73.621				
710	75.924				
715	77.903				
720	79.604				
725	81.066				
730	82.322				
735	83.401				
740	84.329				
745	85.126				
750	85.812				
755	86.4				
760	86.906				
765	87.341				
770	87.715				
775	88.036				
780	88.313				
785	88.55				
790	88.754				
795	88.929				
800	89.051				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
