Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	53.391	#E1FAD7	Lee Filters	Dirty Ice	731
410	53.077				
415	52.91				
420	52.294				
425	51.107				
430	50.537				
435	51.424				
440	53.286				
445	55.119				
450	56.337				
455	57.473				
460	59.161				
465	62.639				
470	67.037				
475	70.933				
480	73.433				
485	73.707				
490	73.318				
495	73.227				
500	73.86				
505	75.381				
510	76.571				
515	77.077				
520	76.07				
525	74.153				
530	72.236				
535	71.039				
540	70.649				
545	71.231				
550	71.902				
555	71.847				
560	70.139				
565	67.289				
570	63.887				
575	60.834				
580	58.797				
585	57.651				
590	57.166				
595	56.509				
600	55.1				
605	53.57				
610	51.871				
615	50.225				
620	48.699				
625	47.858				
630	47.888				
635	49.284				
640	51.31				
645	53.549				
650	54.868				
655	54.642				
660	52.033				
665	48.707				
670	47.63				
675	47.926				
680	50.825				
685	56.893				
690	63.507				
695	69.296				
700	73.134				
705	75.505				
710	77.543				
715	79.295				
720	80.8				
725	82.093				
730	83.205				
735	84.16				
740	84.981				
745	85.687				
750	86.293				
755	86.814				
760	87.262				
765	87.647				
770	87.978				
775	88.262				
780	88.507				
785	88.717				
790	88.897				
795	89.052				
800	89.16				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
