Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.265	#00BE78	Lee Filters	Velvet Green	735
410	0.346				
415	0.378				
420	0.389				
425	0.394				
430	0.393				
435	0.446				
440	0.551				
445	0.709				
450	0.942				
455	1.276				
460	1.799				
465	2.776				
470	4.617				
475	8.018				
480	13.497				
485	21.127				
490	29.665				
495	36.31				
500	40.252				
505	42.193				
510	41.02				
515	37.718				
520	33.635				
525	28.702				
530	23.061				
535	17.682				
540	12.713				
545	8.431				
550	4.962				
555	2.575				
560	1.144				
565	0.442				
570	0.152				
575	0.052				
580	0.013				
585	0.01				
590	0.01				
595	0.01				
600	0.01				
605	0.01				
610	0.01				
615	0.01				
620	0.01				
625	0.01				
630	0.01				
635	0.01				
640	0.01				
645	0.01				
650	0.01				
655	0.01				
660	0.01				
665	0.01				
670	0.01				
675	0.01				
680	0.01				
685	0.01				
690	0.01				
695	0.01				
700	0.233				
705	0.417				
710	0.753				
715	1.364				
720	2.461				
725	4.403				
730	7.748				
735	13.247				
740	21.627				
745	33.029				
750	46.368				
755	59.471				
760	70.311				
765	78.074				
770	83.077				
775	86.087				
780	87.822				
785	88.799				
790	89.341				
795	89.639				
800	89.777				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
