Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.01	#00AA00	Lee Filters	Twickenham Green	736
410	0.01				
415	0.01				
420	0.01				
425	0.01				
430	0.01				
435	0.01				
440	0.01				
445	0.01				
450	0.01				
455	0.01				
460	0.01				
465	0.011				
470	0.024				
475	0.068				
480	0.206				
485	0.617				
490	1.592				
495	3.543				
500	6.622				
505	10.755				
510	15.206				
515	19.098				
520	21.661				
525	22.841				
530	22.384				
535	20.347				
540	17.327				
545	13.728				
550	9.889				
555	6.381				
560	3.68				
565	1.902				
570	0.903				
575	0.411				
580	0.173				
585	0.075				
590	0.034				
595	0.013				
600	0.01				
605	0.01				
610	0.01				
615	0.01				
620	0.01				
625	0.01				
630	0.01				
635	0.01				
640	0.01				
645	0.01				
650	0.01				
655	0.01				
660	0.01				
665	0.01				
670	0.01				
675	0.01				
680	0.01				
685	0.01				
690	0.01				
695	0.017				
700	0.273				
705	0.458				
710	0.794				
715	1.404				
720	2.5				
725	4.442				
730	7.786				
735	13.282				
740	21.658				
745	33.055				
750	46.388				
755	59.485				
760	70.32				
765	78.079				
770	83.08				
775	86.089				
780	87.823				
785	88.799				
790	89.341				
795	89.639				
800	89.778				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
