Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	15.102	#F8C882	Lee Filters	Dirty White	744
410	12.477				
415	10.6				
420	9.362				
425	8.556				
430	8.202				
435	8.328				
440	8.966				
445	10.085				
450	11.804				
455	14.186				
460	17.612				
465	22.371				
470	28.5				
475	35.576				
480	41.916				
485	45.954				
490	47.203				
495	46.685				
500	45.779				
505	45.093				
510	44.732				
515	44.796				
520	44.989				
525	45.192				
530	45.458				
535	45.636				
540	45.976				
545	46.369				
550	47.189				
555	48.438				
560	51.063				
565	54.637				
570	59.34				
575	64.18				
580	69.092				
585	72.776				
590	75.815				
595	78.655				
600	80.325				
605	81.455				
610	81.958				
615	81.994				
620	81.065				
625	79.981				
630	79.527				
635	79.136				
640	79.884				
645	80.294				
650	81.22				
655	81.52				
660	80.521				
665	78.23				
670	76.535				
675	75.835				
680	76.312				
685	78.302				
690	80.463				
695	82.568				
700	84.203				
705	85.018				
710	85.718				
715	86.32				
720	86.838				
725	87.282				
730	87.664				
735	87.993				
740	88.275				
745	88.518				
750	88.726				
755	88.905				
760	89.059				
765	89.191				
770	89.305				
775	89.403				
780	89.487				
785	89.559				
790	89.621				
795	89.674				
800	89.711				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
