Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.086	#6E3C00	Lee Filters	Brown	746
410	0.086				
415	0.091				
420	0.094				
425	0.097				
430	0.102				
435	0.104				
440	0.097				
445	0.089				
450	0.079				
455	0.074				
460	0.074				
465	0.077				
470	0.082				
475	0.09				
480	0.102				
485	0.118				
490	0.14				
495	0.166				
500	0.193				
505	0.225				
510	0.262				
515	0.308				
520	0.373				
525	0.449				
530	0.507				
535	0.539				
540	0.557				
545	0.595				
550	0.704				
555	0.898				
560	1.14				
565	1.31				
570	1.422				
575	1.531				
580	1.688				
585	1.866				
590	2.044				
595	2.094				
600	1.965				
605	1.746				
610	1.538				
615	1.408				
620	1.346				
625	1.346				
630	1.444				
635	1.649				
640	1.939				
645	2.206				
650	2.312				
655	2.109				
660	1.616				
665	1.105				
670	0.832				
675	0.77				
680	0.926				
685	1.504				
690	2.928				
695	5.617				
700	9.72				
705	21.007				
710	30.707				
715	39.043				
720	46.208				
725	52.365				
730	57.656				
735	62.203				
740	66.111				
745	69.47				
750	72.356				
755	74.837				
760	76.969				
765	78.801				
770	80.376				
775	81.729				
780	82.892				
785	83.891				
790	84.75				
795	85.488				
800	86.003				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
