Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	21.431	#E96785	Lee Filters	Seedy Pink	748
410	21.805				
415	21.709				
420	21.241				
425	20.711				
430	20.089				
435	19.489				
440	18.752				
445	18.069				
450	17.284				
455	16.544				
460	15.826				
465	15.238				
470	14.768				
475	14.28				
480	13.844				
485	13.433				
490	13.138				
495	12.898				
500	12.656				
505	12.335				
510	11.937				
515	11.533				
520	11.095				
525	10.901				
530	10.831				
535	10.698				
540	10.248				
545	9.378				
550	8.195				
555	7.051				
560	6.31				
565	6.247				
570	7.066				
575	8.868				
580	11.783				
585	15.058				
590	18.429				
595	21.445				
600	23.937				
605	26.11				
610	27.847				
615	29.2				
620	30.239				
625	31.391				
630	32.884				
635	35.107				
640	38.277				
645	42.212				
650	46.294				
655	50.756				
660	55.075				
665	59.095				
670	62.882				
675	66.201				
680	68.986				
685	71.325				
690	73.77				
695	75.955				
700	77.777				
705	79.495				
710	80.972				
715	82.242				
720	83.332				
725	84.27				
730	85.075				
735	85.768				
740	86.363				
745	86.874				
750	87.314				
755	87.691				
760	88.016				
765	88.295				
770	88.535				
775	88.741				
780	88.918				
785	89.07				
790	89.201				
795	89.313				
800	89.391				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
