Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	67.621	#FCD3CD	Lee Filters	Hampshire Rose	749
410	66.86				
415	66.979				
420	67.227				
425	67.436				
430	66.678				
435	65.685				
440	64.825				
445	64.321				
450	63.932				
455	62.87				
460	61.248				
465	59.764				
470	58.891				
475	58.077				
480	57.901				
485	57.321				
490	56.667				
495	55.932				
500	55.19				
505	54.776				
510	54.653				
515	55.227				
520	56.5				
525	57.548				
530	58.679				
535	59.325				
540	60.04				
545	60.428				
550	61.606				
555	64.0				
560	67.356				
565	71.553				
570	76.421				
575	80.373				
580	83.637				
585	85.359				
590	86.41				
595	86.785				
600	87.38				
605	88.482				
610	89.159				
615	90.199				
620	90.62				
625	90.774				
630	90.463				
635	90.178				
640	89.473				
645	88.963				
650	88.536				
655	88.387				
660	88.577				
665	89.251				
670	89.942				
675	90.26				
680	90.804				
685	91.168				
690	91.3				
695	91.119				
700	90.502				
705	90.431				
710	90.371				
715	90.319				
720	90.274				
725	90.235				
730	90.202				
735	90.174				
740	90.149				
745	90.128				
750	90.11				
755	90.095				
760	90.081				
765	90.07				
770	90.06				
775	90.052				
780	90.044				
785	90.038				
790	90.033				
795	90.028				
800	90.025				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
