Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	36.335	#FFE591	Lee Filters	LEE Yellow	765
410	34.084				
415	33.791				
420	34.111				
425	33.895				
430	32.805				
435	32.036				
440	31.661				
445	31.167				
450	29.824				
455	28.397				
460	27.68				
465	28.437				
470	30.104				
475	32.017				
480	34.016				
485	36.213				
490	39.435				
495	44.417				
500	50.864				
505	58.272				
510	65.604				
515	71.46				
520	74.621				
525	75.566				
530	75.874				
535	76.565				
540	78.489				
545	81.62				
550	85.007				
555	86.999				
560	88.033				
565	87.352				
570	86.178				
575	85.465				
580	85.691				
585	87.04				
590	88.837				
595	90.821				
600	91.59				
605	91.751				
610	90.346				
615	88.924				
620	87.358				
625	86.471				
630	86.168				
635	87.217				
640	88.579				
645	90.655				
650	92.322				
655	93.654				
660	93.853				
665	93.566				
670	92.547				
675	91.245				
680	89.817				
685	88.928				
690	88.667				
695	88.757				
700	89.357				
705	89.358				
710	89.36				
715	89.365				
720	89.373				
725	89.386				
730	89.41				
735	89.45				
740	89.51				
745	89.592				
750	89.687				
755	89.781				
760	89.859				
765	89.915				
770	89.95				
775	89.972				
780	89.984				
785	89.991				
790	89.995				
795	89.997				
800	89.998				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
