Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.014	#FFB400	Lee Filters	Burnt Yellow	770
410	0.01				
415	0.01				
420	0.01				
425	0.01				
430	0.01				
435	0.01				
440	0.013				
445	0.01				
450	0.011				
455	0.01				
460	0.01				
465	0.014				
470	0.023				
475	0.091				
480	0.419				
485	1.405				
490	3.064				
495	4.98				
500	6.746				
505	8.437				
510	10.183				
515	12.241				
520	14.657				
525	17.352				
530	19.67				
535	21.347				
540	23.081				
545	26.209				
550	31.786				
555	40.679				
560	51.391				
565	61.872				
570	70.305				
575	76.441				
580	80.523				
585	83.062				
590	84.212				
595	85.224				
600	86.042				
605	86.627				
610	86.528				
615	86.797				
620	86.915				
625	87.19				
630	87.431				
635	87.702				
640	87.673				
645	87.439				
650	87.344				
655	87.368				
660	87.641				
665	87.862				
670	87.888				
675	88.229				
680	88.096				
685	87.945				
690	88.131				
695	88.128				
700	88.51				
705	88.513				
710	88.518				
715	88.528				
720	88.547				
725	88.579				
730	88.634				
735	88.726				
740	88.865				
745	89.054				
750	89.276				
755	89.493				
760	89.673				
765	89.802				
770	89.885				
775	89.935				
780	89.964				
785	89.98				
790	89.989				
795	89.994				
800	89.996				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
