Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	27.448	#FCBE9B	Lee Filters	Nectarine	776
410	26.643				
415	26.447				
420	27.046				
425	27.191				
430	26.496				
435	25.395				
440	24.661				
445	24.422				
450	24.347				
455	24.234				
460	24.202				
465	24.442				
470	25.152				
475	26.052				
480	27.047				
485	28.14				
490	29.314				
495	30.618				
500	31.831				
505	32.622				
510	33.061				
515	33.399				
520	34.077				
525	35.655				
530	37.886				
535	40.41				
540	42.672				
545	44.31				
550	45.188				
555	45.787				
560	46.582				
565	49.256				
570	55.008				
575	64.256				
580	74.006				
585	80.805				
590	84.337				
595	85.674				
600	85.79				
605	85.772				
610	86.223				
615	87.317				
620	88.533				
625	89.277				
630	90.013				
635	90.059				
640	89.851				
645	89.19				
650	88.991				
655	88.792				
660	88.964				
665	89.216				
670	89.596				
675	90.056				
680	90.251				
685	90.295				
690	90.368				
695	90.696				
700	90.896				
705	90.894				
710	90.891				
715	90.884				
720	90.874				
725	90.854				
730	90.821				
735	90.766				
740	90.682				
745	90.569				
750	90.435				
755	90.305				
760	90.196				
765	90.119				
770	90.069				
775	90.039				
780	90.022				
785	90.012				
790	90.007				
795	90.004				
800	90.002				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
