Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.01	#F58200	Lee Filters	Rust	777
410	0.01				
415	0.01				
420	0.01				
425	0.01				
430	0.01				
435	0.01				
440	0.01				
445	0.01				
450	0.01				
455	0.01				
460	0.01				
465	0.013				
470	0.02				
475	0.041				
480	0.09				
485	0.194				
490	0.403				
495	0.801				
500	1.461				
505	2.379				
510	3.47				
515	4.636				
520	5.809				
525	6.989				
530	8.374				
535	9.92				
540	11.688				
545	13.41				
550	14.618				
555	15.12				
560	15.773				
565	17.166				
570	20.523				
575	26.692				
580	34.694				
585	41.332				
590	46.51				
595	50.589				
600	53.963				
605	56.246				
610	56.907				
615	56.745				
620	56.689				
625	57.408				
630	58.763				
635	60.402				
640	61.801				
645	62.802				
650	63.291				
655	63.928				
660	64.805				
665	66.312				
670	68.368				
675	70.429				
680	72.504				
685	74.387				
690	75.796				
695	77.028				
700	78.336				
705	78.36				
710	78.404				
715	78.483				
720	78.625				
725	78.878				
730	79.312				
735	80.027				
740	81.116				
745	82.597				
750	84.331				
755	86.033				
760	87.442				
765	88.45				
770	89.1				
775	89.492				
780	89.717				
785	89.844				
790	89.914				
795	89.953				
800	89.971				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
