Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	0.01	#FF6F00	Lee Filters	AS Golden Amber	780
410	0.01				
415	0.01				
420	0.01				
425	0.01				
430	0.01				
435	0.01				
440	0.01				
445	0.01				
450	0.01				
455	0.01				
460	0.01				
465	0.01				
470	0.01				
475	0.01				
480	0.011				
485	0.017				
490	0.027				
495	0.046				
500	0.075				
505	0.118				
510	0.173				
515	0.261				
520	0.406				
525	0.625				
530	0.897				
535	1.155				
540	1.422				
545	1.8				
550	2.593				
555	4.326				
560	7.568				
565	12.835				
570	21.208				
575	33.077				
580	46.9				
585	58.342				
590	66.085				
595	71.134				
600	74.514				
605	77.637				
610	79.777				
615	80.857				
620	80.861				
625	80.268				
630	79.728				
635	79.958				
640	80.929				
645	82.012				
650	82.96				
655	83.324				
660	82.888				
665	81.991				
670	81.406				
675	81.433				
680	81.894				
685	82.905				
690	84.557				
695	85.478				
700	86.235				
705	86.243				
710	86.257				
715	86.283				
720	86.329				
725	86.41				
730	86.551				
735	86.781				
740	87.133				
745	87.611				
750	88.17				
755	88.72				
760	89.174				
765	89.5				
770	89.71				
775	89.836				
780	89.909				
785	89.95				
790	89.972				
795	89.985				
800	89.991				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
