Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	44.915	#FFB4A5	Lee Filters	Moroccan Pink	790
410	45.866				
415	46.601				
420	46.931				
425	46.85				
430	46.882				
435	46.809				
440	46.599				
445	45.872				
450	44.604				
455	43.033				
460	41.342				
465	39.826				
470	38.409				
475	37.204				
480	36.132				
485	35.307				
490	34.529				
495	34.043				
500	33.897				
505	34.06				
510	34.652				
515	35.528				
520	36.499				
525	37.775				
530	38.811				
535	40.15				
540	41.811				
545	44.066				
550	46.866				
555	50.498				
560	53.96				
565	57.313				
570	60.289				
575	63.557				
580	66.739				
585	69.741				
590	72.847				
595	76.116				
600	78.927				
605	81.295				
610	82.991				
615	84.266				
620	85.077				
625	85.414				
630	85.547				
635	85.59				
640	85.21				
645	85.303				
650	85.252				
655	85.348				
660	85.857				
665	86.01				
670	86.461				
675	87.177				
680	87.725				
685	87.611				
690	88.063				
695	88.359				
700	88.121				
705	88.385				
710	88.612				
715	88.807				
720	88.975				
725	89.119				
730	89.243				
735	89.349				
740	89.441				
745	89.519				
750	89.587				
755	89.645				
760	89.695				
765	89.738				
770	89.775				
775	89.806				
780	89.834				
785	89.857				
790	89.877				
795	89.894				
800	89.906				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
