Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	28.667	#FF3CA0	Lee Filters	Vanity Fair	793
410	29.769				
415	30.757				
420	30.544				
425	30.819				
430	31.58				
435	31.661				
440	30.699				
445	29.897				
450	28.296				
455	25.233				
460	21.697				
465	18.538				
470	15.316				
475	11.986				
480	9.069				
485	6.73				
490	4.9				
495	3.365				
500	2.111				
505	1.181				
510	0.605				
515	0.31				
520	0.184				
525	0.132				
530	0.113				
535	0.096				
540	0.07				
545	0.037				
550	0.018				
555	0.01				
560	0.01				
565	0.01				
570	0.021				
575	0.069				
580	0.344				
585	1.306				
590	4.62				
595	12.406				
600	25.21				
605	40.337				
610	54.095				
615	64.057				
620	70.048				
625	73.999				
630	76.904				
635	80.075				
640	82.786				
645	84.72				
650	85.488				
655	85.337				
660	84.344				
665	84.072				
670	84.284				
675	85.259				
680	86.669				
685	87.969				
690	89.03				
695	89.01				
700	88.571				
705	88.573				
710	88.579				
715	88.589				
720	88.606				
725	88.637				
730	88.69				
735	88.778				
740	88.911				
745	89.093				
750	89.305				
755	89.514				
760	89.686				
765	89.81				
770	89.89				
775	89.938				
780	89.965				
785	89.981				
790	89.99				
795	89.994				
800	89.996				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
