Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	66.264	#FFAFDC	Lee Filters	Pretty n Pink	794
410	68.391				
415	68.954				
420	68.141				
425	67.881				
430	68.97				
435	70.774				
440	70.987				
445	69.626				
450	67.648				
455	66.761				
460	66.308				
465	65.313				
470	63.032				
475	59.84				
480	57.071				
485	55.074				
490	53.799				
495	52.033				
500	49.316				
505	45.572				
510	41.919				
515	39.223				
520	37.647				
525	37.232				
530	37.339				
535	36.376				
540	33.671				
545	29.773				
550	25.581				
555	22.382				
560	21.144				
565	22.539				
570	27.165				
575	35.104				
580	45.75				
585	56.162				
590	65.1				
595	71.982				
600	77.155				
605	81.43				
610	85.233				
615	88.505				
620	90.698				
625	92.015				
630	91.979				
635	91.64				
640	90.679				
645	89.954				
650	89.703				
655	90.31				
660	90.975				
665	91.76				
670	93.064				
675	93.511				
680	93.285				
685	92.634				
690	91.89				
695	90.923				
700	89.596				
705	89.653				
710	89.702				
715	89.744				
720	89.78				
725	89.811				
730	89.837				
735	89.86				
740	89.88				
745	89.897				
750	89.911				
755	89.924				
760	89.934				
765	89.944				
770	89.952				
775	89.958				
780	89.964				
785	89.969				
790	89.974				
795	89.977				
800	89.98				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
