Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	46.376	#FA46C8	Lee Filters	Magical Magenta	795
410	48.039				
415	48.959				
420	48.91				
425	49.637				
430	50.594				
435	51.012				
440	51.133				
445	51.996				
450	50.832				
455	47.879				
460	44.665				
465	42.273				
470	39.012				
475	34.243				
480	29.295				
485	25.017				
490	21.124				
495	17.008				
500	12.746				
505	8.707				
510	5.439				
515	3.223				
520	1.984				
525	1.399				
530	1.133				
535	0.948				
540	0.688				
545	0.382				
550	0.17				
555	0.078				
560	0.05				
565	0.054				
570	0.115				
575	0.345				
580	1.285				
585	3.821				
590	9.27				
595	17.466				
600	26.617				
605	35.165				
610	42.825				
615	49.72				
620	56.499				
625	63.571				
630	69.817				
635	75.219				
640	79.014				
645	81.46				
650	83.109				
655	84.042				
660	84.423				
665	84.547				
670	84.815				
675	84.578				
680	84.609				
685	85.025				
690	85.673				
695	86.38				
700	86.943				
705	86.949				
710	86.96				
715	86.981				
720	87.018				
725	87.085				
730	87.199				
735	87.386				
740	87.671				
745	88.06				
750	88.514				
755	88.96				
760	89.329				
765	89.594				
770	89.764				
775	89.867				
780	89.926				
785	89.959				
790	89.978				
795	89.988				
800	89.992				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
