Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	18.719	#AF0096	Lee Filters	Deep Purple	797
410	20.5				
415	22.228				
420	23.707				
425	25.113				
430	26.736				
435	28.647				
440	29.854				
445	29.716				
450	27.849				
455	24.97				
460	21.622				
465	18.129				
470	14.369				
475	10.746				
480	7.703				
485	5.278				
490	3.491				
495	2.142				
500	1.18				
505	0.557				
510	0.232				
515	0.094				
520	0.044				
525	0.024				
530	0.017				
535	0.012				
540	0.01				
545	0.01				
550	0.01				
555	0.01				
560	0.01				
565	0.01				
570	0.01				
575	0.01				
580	0.014				
585	0.028				
590	0.137				
595	0.587				
600	1.707				
605	3.234				
610	4.385				
615	4.8				
620	4.773				
625	4.82				
630	5.401				
635	7.068				
640	10.483				
645	16.343				
650	25.076				
655	35.858				
660	47.206				
665	57.304				
670	65.708				
675	71.738				
680	76.066				
685	79.347				
690	81.779				
695	83.479				
700	84.067				
705	84.079				
710	84.101				
715	84.141				
720	84.214				
725	84.342				
730	84.563				
735	84.927				
740	85.481				
745	86.234				
750	87.116				
755	87.982				
760	88.699				
765	89.212				
770	89.542				
775	89.741				
780	89.856				
785	89.921				
790	89.956				
795	89.976				
800	89.985				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
