Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
405	33.591	#A000BE	Lee Filters	Chrysalis Pink	798
410	36.632				
415	39.125				
420	41.661				
425	44.686				
430	48.003				
435	50.32				
440	51.615				
445	51.681				
450	50.03				
455	46.598				
460	42.73				
465	38.327				
470	33.462				
475	28.395				
480	23.367				
485	18.73				
490	14.685				
495	10.99				
500	7.701				
505	4.972				
510	3.058				
515	1.902				
520	1.289				
525	0.958				
530	0.747				
535	0.566				
540	0.395				
545	0.242				
550	0.137				
555	0.079				
560	0.057				
565	0.052				
570	0.065				
575	0.104				
580	0.211				
585	0.434				
590	0.923				
595	1.775				
600	2.771				
605	3.405				
610	3.396				
615	3.006				
620	2.584				
625	2.433				
630	2.76				
635	3.89				
640	6.536				
645	11.663				
650	20.219				
655	31.723				
660	44.712				
665	56.724				
670	66.521				
675	74.17				
680	79.752				
685	83.787				
690	86.774				
695	88.905				
700	89.919				
705	89.919				
710	89.92				
715	89.92				
720	89.921				
725	89.923				
730	89.926				
735	89.931				
740	89.938				
745	89.949				
750	89.961				
755	89.973				
760	89.982				
765	89.989				
770	89.994				
775	89.996				
780	89.998				
785	89.999				
790	89.999				
795	90.0				
800	90.0				
805	90.0				
810	90.0				
815	90.0				
820	90.0				
825	90.0				
830	90.0				
835	90.0				
840	90.0				
845	90.0				
850	90.0				
855	90.0				
860	90.0				
865	90.0				
870	90.0				
875	90.0				
880	90.0				
885	90.0				
890	90.0				
895	90.0				
900	90.0				
905	90.0				
910	90.0				
915	90.0				
920	90.0				
925	90.0				
930	90.0				
935	90.0				
940	90.0				
945	90.0				
950	90.0				
955	90.0				
960	90.0				
965	90.0				
970	90.0				
975	90.0				
980	90.0				
985	90.0				
990	90.0				
995	90.0				
1000	90.0				
1005	90.0				
1010	90.0				
1015	90.0				
1020	90.0				
1025	90.0				
1030	90.0				
1035	90.0				
1040	90.0				
1045	90.0				
1050	90.0				
1055	90.0				
1060	90.0				
1065	90.0				
1070	90.0				
1075	90.0				
1080	90.0				
1085	90.0				
1090	90.0				
1095	90.0				
1100	90.0				
