Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	2.08	#F2F3F2	MidOpt	Acrylic VIS A/R Protective Window	AC380
360	6.25				
370	20.82				
380	48.40				
390	69.07				
400	80.01				
410	86.67				
420	91.25				
430	94.52				
440	96.36				
450	97.33				
460	97.94				
470	97.98				
480	98.22				
490	97.96				
500	98.17				
510	98.11				
520	97.96				
530	98.32				
540	98.41				
550	98.29				
560	98.59				
570	98.90				
580	98.86				
590	98.87				
600	99.12				
610	99.21				
620	98.99				
630	98.91				
640	98.98				
650	98.94				
660	98.47				
670	98.05				
680	97.84				
690	97.83				
700	97.56				
710	96.96				
720	96.10				
730	95.36				
740	95.21				
750	95.16				
760	94.72				
770	94.08				
780	93.24				
790	92.45				
800	91.85				
810	91.54				
820	91.37				
830	91.15				
840	90.77				
850	90.16				
860	89.40				
870	88.32				
880	87.09				
890	86.47				
900	86.33				
910	86.59				
920	86.87				
930	86.88				
940	86.57				
950	86.03				
960	85.35				
970	84.63				
980	83.95				
990	83.49				
1000	83.19				
1010	83.19				
1020	83.32				
1030	83.45				
1040	83.56				
1050	83.59				
1060	83.48				
1070	83.23				
1080	82.88				
1090	82.37				
1100	81.84				
