Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.00	#231F20	MidOpt	Narrow Near-IR Bandpass Filter	BN880
360	0.26				
370	2.37				
380	1.15				
390	0.07				
400	0.03				
410	0.01				
420	0.12				
430	0.07				
440	0.04				
450	0.05				
460	0.06				
470	0.01				
480	0.01				
490	0.01				
500	0.01				
510	0.01				
520	0.01				
530	0.01				
540	0.01				
550	0.01				
560	0.01				
570	0.05				
580	0.01				
590	0.00				
600	0.01				
610	0.00				
620	0.01				
630	0.00				
640	0.03				
650	0.02				
660	0.01				
670	0.00				
680	0.01				
690	0.01				
700	0.05				
710	0.03				
720	0.01				
730	0.08				
740	0.04				
750	0.02				
760	0.04				
770	0.01				
780	0.02				
790	0.01				
800	0.00				
810	0.00				
820	0.01				
830	0.10				
840	4.58				
850	68.63				
860	89.73				
870	87.86				
880	87.53				
890	74.67				
900	16.88				
910	1.82				
920	1.11				
930	0.86				
940	-0.05				
950	0.33				
960	0.65				
970	0.78				
980	0.70				
990	0.59				
1000	0.44				
1010	0.29				
1020	0.20				
1030	0.20				
1040	0.32				
1050	0.50				
1060	0.62				
1070	0.63				
1080	0.63				
1090	0.65				
1100	0.62				
