Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.01	#2FB79E	MidOpt	Cyan Bandpass Filter	BP505
360	0.01				
370	0.01				
380	0.01				
390	0.01				
400	0.01				
410	0.01				
420	0.01				
430	0.02				
440	0.02				
450	0.01				
460	0.56				
470	17.96				
480	60.10				
490	82.61				
500	91.30				
510	91.80				
520	91.24				
530	92.43				
540	91.76				
550	92.06				
560	72.33				
570	39.53				
580	19.87				
590	3.60				
600	1.97				
610	1.80				
620	0.52				
630	0.26				
640	0.36				
650	0.34				
660	0.14				
670	0.11				
680	0.19				
690	0.30				
700	0.16				
710	0.11				
720	0.15				
730	0.40				
740	0.45				
750	0.15				
760	0.08				
770	0.06				
780	0.07				
790	0.12				
800	0.44				
810	0.27				
820	0.06				
830	0.02				
840	0.02				
850	0.02				
860	0.02				
870	0.19				
880	0.44				
890	0.55				
900	0.30				
910	0.43				
920	0.33				
930	0.32				
940	0.13				
950	0.18				
960	0.18				
970	0.36				
980	0.95				
990	2.62				
1000	5.70				
1010	8.93				
1020	11.77				
1030	18.14				
1040	34.74				
1050	55.04				
1060	58.77				
1070	44.60				
1080	31.29				
1090	27.43				
1100	30.20				
