Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.01	#A4D285	MidOpt	Light Green Interference Bandpass	Bi520
360	0.00				
370	0.04				
380	0.09				
390	0.03				
400	0.00				
410	0.00				
420	0.00				
430	0.00				
440	0.01				
450	0.01				
460	0.01				
470	0.01				
480	0.08				
490	0.07				
500	0.46				
510	43.34				
520	90.52				
530	65.52				
540	1.68				
550	0.02				
560	0.01				
570	0.03				
580	0.04				
590	0.04				
600	0.06				
610	0.03				
620	0.02				
630	0.02				
640	0.04				
650	0.03				
660	0.04				
670	0.11				
680	0.05				
690	0.02				
700	0.04				
710	0.08				
720	0.05				
730	0.08				
740	0.08				
750	0.10				
760	0.09				
770	0.03				
780	0.02				
790	0.03				
800	0.04				
810	0.03				
820	0.04				
830	0.11				
840	0.25				
850	0.15				
860	0.10				
870	0.12				
880	0.48				
890	0.94				
900	4.10				
910	24.24				
920	48.55				
930	38.81				
940	54.67				
950	69.73				
960	47.12				
970	36.78				
980	44.73				
990	67.49				
1000	85.89				
1010	88.27				
1020	87.31				
1030	82.50				
1040	73.46				
1050	69.36				
1060	73.80				
1070	82.95				
1080	86.62				
1090	81.53				
1100	76.45				
