Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.00	#B7D05A	MidOpt	Dual Bandpass Green + 850nm NIR	DB550/850
360	0.03				
370	1.48				
380	0.25				
390	0.01				
400	0.03				
410	0.02				
420	0.34				
430	0.06				
440	0.00				
450	0.01				
460	0.06				
470	0.07				
480	0.08				
490	0.09				
500	0.06				
510	0.67				
520	53.57				
530	90.42				
540	91.96				
550	90.87				
560	81.81				
570	21.57				
580	0.45				
590	0.12				
600	0.16				
610	0.05				
620	0.06				
630	0.22				
640	0.11				
650	0.25				
660	0.15				
670	0.05				
680	0.09				
690	0.03				
700	0.01				
710	0.01				
720	0.01				
730	0.04				
740	0.08				
750	0.05				
760	0.03				
770	0.00				
780	0.00				
790	0.00				
800	0.01				
810	0.05				
820	0.74				
830	27.83				
840	88.38				
850	92.56				
860	91.34				
870	91.07				
880	62.85				
890	11.04				
900	1.07				
910	0.32				
920	0.14				
930	0.10				
940	0.18				
950	0.33				
960	0.32				
970	0.22				
980	0.31				
990	0.48				
1000	0.51				
1010	0.39				
1020	0.36				
1030	0.32				
1040	0.21				
1050	0.14				
1060	0.11				
1070	0.11				
1080	0.16				
1090	0.27				
1100	0.60				
