Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.00	#231F20	MidOpt	Dual Bandpass Filter Visible + 850nm NIR	DB850
360	0.02				
370	1.27				
380	10.82				
390	29.26				
400	22.20				
410	57.68				
420	88.39				
430	87.13				
440	92.61				
450	93.44				
460	93.30				
470	93.87				
480	92.27				
490	94.32				
500	94.51				
510	94.52				
520	94.61				
530	93.93				
540	92.73				
550	94.61				
560	94.71				
570	94.48				
580	94.19				
590	94.42				
600	93.51				
610	92.89				
620	93.61				
630	94.02				
640	92.12				
650	71.61				
660	19.05				
670	3.64				
680	1.03				
690	0.71				
700	0.83				
710	0.75				
720	0.37				
730	0.23				
740	0.25				
750	0.49				
760	1.11				
770	0.90				
780	0.55				
790	0.52				
800	0.77				
810	1.85				
820	7.53				
830	39.65				
840	89.05				
850	91.74				
860	93.97				
870	89.53				
880	60.88				
890	20.53				
900	6.51				
910	2.18				
920	0.67				
930	0.28				
940	0.15				
950	0.10				
960	0.08				
970	0.07				
980	0.07				
990	0.09				
1000	0.14				
1010	0.30				
1020	0.73				
1030	1.35				
1040	1.46				
1050	1.02				
1060	0.60				
1070	0.44				
1080	0.42				
1090	0.49				
1100	0.65				
