Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
250	0.00	#A44777	MidOpt	Light Balancing Filter (Minus Green)	FL550
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.01				
330	0.00				
340	0.00				
350	0.35				
360	5.87				
370	21.34				
380	37.00				
390	48.84				
400	55.69				
410	57.51				
420	54.62				
430	51.51				
440	48.96				
450	46.05				
460	43.68				
470	42.32				
480	42.05				
490	42.86				
500	43.20				
510	43.17				
520	44.20				
530	44.63				
540	49.48				
550	52.51				
560	54.58				
570	47.43				
580	44.12				
590	46.66				
600	58.69				
610	64.11				
620	66.85				
630	68.09				
640	69.36				
650	70.43				
660	71.48				
670	72.12				
680	72.68				
690	73.67				
700	75.40				
710	76.49				
720	77.28				
730	75.83				
740	67.04				
750	69.19				
760	76.98				
770	80.81				
780	81.42				
790	77.82				
800	71.93				
810	69.55				
820	80.08				
830	84.48				
840	86.54				
850	87.10				
860	86.40				
870	84.74				
880	82.90				
890	85.51				
900	87.77				
910	88.86				
920	89.34				
930	89.85				
940	90.09				
950	90.27				
960	90.44				
970	90.61				
980	90.73				
990	90.84				
1000	90.97				
1010	91.05				
1020	91.13				
1030	91.23				
1040	91.29				
1050	91.37				
1060	91.40				
1070	91.48				
1080	91.52				
1090	91.56				
1100	91.62				
