Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
250	0.00	#FECC84	MidOpt	Light Balancing Filter (Minus Blue)	LA080
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.11				
330	2.08				
340	10.36				
350	22.72				
360	33.55				
370	40.35				
380	42.84				
390	49.13				
400	53.53				
410	55.19				
420	55.69				
430	55.71				
440	55.33				
450	55.23				
460	55.12				
470	54.94				
480	54.83				
490	55.19				
500	56.09				
510	57.45				
520	59.15				
530	61.30				
540	63.74				
550	66.30				
560	68.42				
570	69.74				
580	70.30				
590	70.74				
600	71.54				
610	72.32				
620	72.81				
630	72.89				
640	72.76				
650	72.72				
660	72.84				
670	73.23				
680	73.77				
690	74.17				
700	74.26				
710	74.07				
720	73.83				
730	73.41				
740	72.96				
750	72.66				
760	72.23				
770	71.98				
780	71.66				
790	71.50				
800	71.33				
810	71.23				
820	71.11				
830	71.08				
840	70.98				
850	70.85				
860	70.69				
870	70.83				
880	70.50				
890	70.68				
900	70.35				
910	70.38				
920	70.19				
930	70.10				
940	70.10				
950	70.01				
960	69.99				
970	69.94				
980	69.89				
990	69.86				
1000	69.83				
1010	69.83				
1020	69.82				
1030	69.83				
1040	69.85				
1050	69.85				
1060	69.85				
1070	69.88				
1080	69.92				
1090	69.95				
1100	69.99				
