Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
250	0.00	#373F7C	MidOpt	Light Balancing Filter (Minus Red)	LB120
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.01				
310	0.29				
320	4.91				
330	21.87				
340	43.81				
350	59.05				
360	68.32				
370	73.43				
380	75.20				
390	79.39				
400	80.76				
410	78.13				
420	70.65				
430	67.07				
440	63.34				
450	59.85				
460	56.24				
470	53.11				
480	49.96				
490	47.03				
500	44.51				
510	41.63				
520	38.55				
530	35.32				
540	33.85				
550	34.67				
560	35.46				
570	33.55				
580	28.87				
590	24.50				
600	23.29				
610	22.59				
620	21.39				
630	19.64				
640	17.92				
650	17.11				
660	17.36				
670	18.46				
680	20.19				
690	21.47				
700	21.99				
710	21.86				
720	21.52				
730	21.11				
740	20.81				
750	20.60				
760	20.49				
770	20.46				
780	20.50				
790	20.61				
800	20.79				
810	21.03				
820	21.37				
830	21.75				
840	22.18				
850	22.65				
860	23.18				
870	23.90				
880	24.51				
890	25.23				
900	25.96				
910	26.75				
920	27.64				
930	28.52				
940	29.41				
950	30.35				
960	31.32				
970	32.25				
980	33.23				
990	34.20				
1000	35.17				
1010	36.15				
1020	37.13				
1030	38.12				
1040	39.10				
1050	40.02				
1060	40.90				
1070	41.80				
1080	42.65				
1090	43.48				
1100	44.27				
