Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	-0.01	#3E2023	MidOpt	Dark Red Longpass Filter	LP665
360	0.00				
370	0.01				
380	0.01				
390	0.01				
400	0.00				
410	0.00				
420	0.00				
430	0.00				
440	0.00				
450	0.00				
460	0.00				
470	0.01				
480	0.00				
490	0.00				
500	0.00				
510	0.00				
520	0.00				
530	0.00				
540	0.00				
550	0.00				
560	0.00				
570	0.00				
580	0.00				
590	0.00				
600	0.00				
610	0.00				
620	0.00				
630	0.00				
640	0.01				
650	0.20				
660	7.87				
670	44.65				
680	81.04				
690	90.74				
700	93.54				
710	94.50				
720	95.24				
730	95.31				
740	95.72				
750	96.05				
760	96.08				
770	96.49				
780	96.33				
790	96.59				
800	96.55				
810	96.88				
820	96.76				
830	97.03				
840	97.10				
850	97.25				
860	97.23				
870	97.11				
880	97.37				
890	97.16				
900	97.34				
910	97.35				
920	97.42				
930	97.32				
940	97.28				
950	97.29				
960	97.17				
970	97.15				
980	97.08				
990	97.02				
1000	96.93				
1010	96.81				
1020	96.67				
1030	96.56				
1040	96.42				
1050	96.25				
1060	96.11				
1070	95.91				
1080	95.68				
1090	95.54				
1100	95.29				
