Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.10	#58595B	MidOpt	Neutral Density Filter - Absorptive 6.25% Transmission	ND120
360	0.54				
370	1.22				
380	1.55				
390	3.69				
400	5.22				
410	5.52				
420	5.79				
430	6.15				
440	6.13				
450	6.66				
460	7.13				
470	6.98				
480	6.55				
490	6.12				
500	5.85				
510	5.71				
520	5.77				
530	5.98				
540	6.22				
550	6.28				
560	6.10				
570	5.70				
580	5.26				
590	5.00				
600	5.03				
610	5.20				
620	5.37				
630	5.40				
640	5.33				
650	5.32				
660	5.53				
670	6.01				
680	7.03				
690	8.19				
700	9.18				
710	9.80				
720	10.07				
730	10.06				
740	9.87				
750	9.53				
760	9.15				
770	8.76				
780	8.36				
790	7.97				
800	7.57				
810	7.18				
820	6.81				
830	6.44				
840	6.13				
850	5.84				
860	5.58				
870	5.26				
880	4.92				
890	4.68				
900	4.44				
910	4.22				
920	4.01				
930	3.82				
940	3.65				
950	3.49				
960	3.35				
970	3.22				
980	3.11				
990	2.99				
1000	2.91				
1010	2.82				
1020	2.75				
1030	2.69				
1040	2.63				
1050	2.59				
1060	2.56				
1070	2.53				
1080	2.50				
1090	2.49				
1100	2.48				
