Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	10.40	#808285	MidOpt	Neutral Density Filter - Low Reflectivity 12.5% Transmission	Ni090
360	10.36				
370	10.36				
380	10.40				
390	10.48				
400	10.55				
410	10.65				
420	10.78				
430	10.92				
440	11.08				
450	11.23				
460	11.38				
470	11.54				
480	11.71				
490	11.89				
500	12.04				
510	12.19				
520	12.36				
530	12.50				
540	12.62				
550	12.75				
560	12.87				
570	12.96				
580	13.05				
590	13.13				
600	13.21				
610	13.27				
620	13.32				
630	13.36				
640	13.42				
650	13.43				
660	13.43				
670	13.43				
680	13.43				
690	13.45				
700	13.44				
710	13.41				
720	13.38				
730	13.35				
740	13.33				
750	13.29				
760	13.23				
770	13.21				
780	13.16				
790	13.18				
800	13.08				
810	13.07				
820	13.06				
830	12.98				
840	12.96				
850	12.93				
860	12.87				
870	12.84				
880	12.85				
890	12.90				
900	12.86				
910	12.79				
920	12.78				
930	12.73				
940	12.71				
950	12.68				
960	12.67				
970	12.65				
980	12.61				
990	12.61				
1000	12.59				
1010	12.57				
1020	12.55				
1030	12.52				
1040	12.51				
1050	12.50				
1060	12.47				
1070	12.46				
1080	12.45				
1090	12.44				
1100	12.41				
1110	12.39				
1120	12.37				
1130	12.36				
1140	12.35				
1150	12.33				
1160	12.32				
1170	12.32				
1180	12.30				
1190	12.30				
1200	12.28				
1210	12.27				
1220	12.26				
1230	12.25				
1240	12.24				
1250	12.23				
1260	12.22				
1270	12.22				
1280	12.23				
1290	12.22				
1300	12.20				
1310	12.19				
1320	12.19				
1330	12.20				
1340	12.18				
1350	12.16				
1360	12.12				
1370	12.11				
1380	12.10				
1390	12.04				
1400	12.00				
1410	12.02				
1420	12.04				
1430	12.07				
1440	12.08				
1450	12.08				
1460	12.10				
1470	12.12				
1480	12.11				
1490	12.12				
1500	12.13				
1510	12.12				
1520	12.13				
1530	12.13				
1540	12.11				
1550	12.10				
1560	12.09				
1570	12.08				
1580	12.07				
1590	12.07				
1600	12.06				
1610	12.08				
1620	12.07				
1630	12.07				
1640	12.09				
1650	12.06				
1660	11.96				
1670	12.00				
1680	11.96				
1690	11.99				
1700	11.95				
1710	11.99				
1720	11.98				
1730	11.92				
1740	11.94				
1750	11.92				
1760	11.94				
1770	11.90				
1780	11.99				
1790	11.90				
1800	11.88				
1810	11.82				
1820	11.92				
1830	11.92				
1840	11.96				
1850	12.03				
1860	12.05				
1870	11.89				
1880	11.87				
1890	11.99				
1900	12.22				
1910	11.92				
1920	12.35				
1930	12.07				
1940	12.11				
1950	12.04				
1960	12.01				
1970	12.18				
1980	12.23				
1990	12.08				
2000	12.02				
