Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.00	#F2F3F2	MidOpt	Photopic Response Bandpass Filter	PE530
310	0.00				
320	0.04				
330	0.00				
340	0.00				
350	0.00				
360	0.00				
370	0.00				
380	0.00				
390	0.00				
400	0.09				
410	0.77				
420	2.28				
430	4.76				
440	8.98				
450	15.55				
460	24.72				
470	33.82				
480	43.19				
490	52.56				
500	60.64				
510	66.91				
520	70.81				
530	72.32				
540	71.09				
550	67.57				
560	61.95				
570	54.90				
580	46.76				
590	38.67				
600	31.15				
610	24.36				
620	18.85				
630	14.42				
640	11.28				
650	8.74				
660	6.65				
670	5.40				
680	4.19				
690	3.11				
700	2.40				
710	1.88				
720	1.47				
730	1.14				
740	0.90				
750	0.70				
760	0.54				
770	0.42				
780	0.34				
790	0.28				
800	0.23				
810	0.19				
820	0.17				
830	0.14				
840	0.13				
850	0.12				
860	0.11				
870	0.20				
880	0.14				
890	0.10				
900	0.18				
910	0.19				
920	0.09				
930	0.11				
940	0.15				
950	0.14				
960	0.15				
970	0.16				
980	0.18				
990	0.21				
1000	0.23				
1010	0.27				
1020	0.29				
1030	0.34				
1040	0.39				
1050	0.44				
1060	0.50				
1070	0.57				
1080	0.62				
1090	0.73				
1100	0.78				
