Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.02	#BADAF3	MidOpt	Near-IR/Mid-Red Dichroic Block Shortpass Filter	SP644
360	0.01				
370	0.02				
380	2.63				
390	60.94				
400	87.59				
410	91.16				
420	91.89				
430	92.83				
440	92.76				
450	93.14				
460	93.47				
470	93.59				
480	93.51				
490	92.23				
500	93.04				
510	93.27				
520	93.62				
530	94.36				
540	94.24				
550	93.94				
560	94.08				
570	93.92				
580	93.74				
590	93.82				
600	93.64				
610	93.47				
620	93.05				
630	91.14				
640	70.03				
650	35.10				
660	13.20				
670	5.57				
680	2.48				
690	1.44				
700	0.89				
710	0.52				
720	0.33				
730	0.27				
740	0.26				
750	0.21				
760	0.13				
770	0.11				
780	0.13				
790	0.19				
800	0.18				
810	0.11				
820	0.09				
830	0.12				
840	0.31				
850	0.37				
860	0.14				
870	0.11				
880	0.14				
890	0.13				
900	0.22				
910	0.43				
920	0.14				
930	0.09				
940	0.04				
950	0.05				
960	0.04				
970	0.04				
980	0.06				
990	0.09				
1000	0.16				
1010	0.22				
1020	0.16				
1030	0.13				
1040	0.10				
1050	0.11				
1060	0.12				
1070	0.16				
1080	0.25				
1090	0.42				
1100	0.81				
