Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.00	#2AACE2	MidOpt	Triple Bandpass Blue+Green+850nm NIR	TB475/550/850
360	0.00				
370	0.01				
380	0.01				
390	0.00				
400	0.04				
410	0.05				
420	0.15				
430	0.18				
440	0.10				
450	0.08				
460	25.86				
470	82.89				
480	83.09				
490	21.02				
500	0.41				
510	0.02				
520	0.04				
530	15.58				
540	78.08				
550	85.97				
560	55.71				
570	2.78				
580	0.38				
590	0.35				
600	0.53				
610	0.19				
620	0.33				
630	0.66				
640	0.38				
650	0.27				
660	0.03				
670	0.01				
680	0.00				
690	0.00				
700	0.01				
710	0.08				
720	0.03				
730	0.01				
740	0.01				
750	0.01				
760	0.05				
770	0.16				
780	0.20				
790	0.13				
800	0.14				
810	0.38				
820	3.21				
830	39.05				
840	84.42				
850	89.41				
860	89.32				
870	88.44				
880	69.39				
890	7.05				
900	0.57				
910	0.16				
920	0.00				
930	0.07				
940	0.06				
950	0.05				
960	0.13				
970	0.04				
980	0.04				
990	0.04				
1000	0.04				
1010	0.02				
1020	0.02				
1030	0.03				
1040	0.04				
1050	0.08				
1060	0.10				
1070	0.06				
1080	0.06				
1090	0.06				
1100	0.12				
