Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
450	0.0		Omega	550-640-764 TB Triple Band	W249
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.006				
458	0.003				
459	0.0				
460	0.0				
461	0.002				
462	0.0				
463	0.0				
464	0.001				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.003				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.001				
485	0.0				
486	0.003				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.001				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.002				
505	0.0				
506	0.0				
507	0.0				
508	0.0				
509	0.0				
510	0.0				
511	0.0				
512	0.0				
513	0.0				
514	0.0				
515	0.0				
516	0.0				
517	0.0				
518	0.0				
519	0.002				
520	0.0				
521	0.0				
522	0.0				
523	0.002				
524	0.005				
525	0.0				
526	0.001				
527	0.0				
528	0.0				
529	0.0				
530	0.0				
531	0.001				
532	0.0				
533	0.0				
534	0.006				
535	0.009				
536	0.027				
537	0.081				
538	0.281				
539	1.413				
540	10.246				
541	43.795				
542	47.714				
543	31.993				
544	37.602				
545	53.584				
546	67.792				
547	67.827				
548	61.322				
549	58.006				
550	59.678				
551	64.991				
552	71.984				
553	78.708				
554	83.119				
555	79.735				
556	65.897				
557	52.513				
558	51.219				
559	45.116				
560	14.317				
561	2.128				
562	0.414				
563	0.11				
564	0.037				
565	0.015				
566	0.005				
567	0.004				
568	0.002				
569	0.0				
570	0.002				
571	0.0				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.001				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.001				
597	0.0				
598	0.0				
599	0.0				
600	0.001				
601	0.0				
602	0.001				
603	0.0				
604	0.002				
605	0.0				
606	0.001				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	0.002				
619	0.013				
620	0.033				
621	0.081				
622	0.239				
623	0.813				
624	3.707				
625	18.885				
626	52.185				
627	56.199				
628	49.473				
629	56.477				
630	69.583				
631	78.688				
632	79.688				
633	77.225				
634	75.983				
635	76.334				
636	77.327				
637	77.984				
638	78.328				
639	78.519				
640	78.669				
641	78.855				
642	79.395				
643	80.601				
644	81.252				
645	78.043				
646	68.855				
647	57.558				
648	50.559				
649	53.858				
650	62.119				
651	41.979				
652	11.231				
653	2.518				
654	0.743				
655	0.27				
656	0.11				
657	0.051				
658	0.028				
659	0.012				
660	0.012				
661	0.005				
662	0.0				
663	0.002				
664	0.003				
665	0.0				
666	0.0				
667	0.0				
668	0.001				
669	0.0				
670	0.0				
671	0.0				
672	0.001				
673	0.0				
674	0.0				
675	0.0				
676	0.0				
677	0.0				
678	0.0				
679	0.0				
680	0.001				
681	0.0				
682	0.0				
683	0.0				
684	0.0				
685	0.0				
686	0.0				
687	0.0				
688	0.0				
689	0.0				
690	0.001				
691	0.0				
692	0.0				
693	0.0				
694	0.003				
695	0.0				
696	0.0				
697	0.0				
698	0.001				
699	0.0				
700	0.0				
701	0.0				
702	0.0				
703	0.0				
704	0.0				
705	0.0				
706	0.0				
707	0.0				
708	0.0				
709	0.0				
710	0.0				
711	0.001				
712	0.0				
713	0.0				
714	0.001				
715	0.0				
716	0.0				
717	0.0				
718	0.002				
719	0.0				
720	0.0				
721	0.001				
722	0.0				
723	0.0				
724	0.0				
725	0.0				
726	0.001				
727	0.0				
728	0.007				
729	0.011				
730	0.013				
731	0.025				
732	0.046				
733	0.073				
734	0.127				
735	0.241				
736	0.48				
737	1.045				
738	2.542				
739	7.131				
740	20.054				
741	44.464				
742	61.384				
743	52.824				
744	42.883				
745	39.908				
746	41.803				
747	47.032				
748	54.599				
749	62.898				
750	70.003				
751	73.744				
752	74.192				
753	72.281				
754	69.286				
755	66.287				
756	63.967				
757	62.175				
758	60.958				
759	60.23				
760	60.138				
761	60.292				
762	60.809				
763	61.787				
764	62.993				
765	64.323				
766	66.235				
767	68.19				
768	70.388				
769	72.76				
770	75.12				
771	77.269				
772	78.751				
773	79.22				
774	78.378				
775	76.005				
776	72.726				
777	68.786				
778	65.27				
779	62.589				
780	61.15				
781	60.116				
782	57.735				
783	51.004				
784	38.946				
785	25.153				
786	14.457				
787	8.077				
788	4.532				
789	2.632				
790	1.579				
791	0.98				
792	0.631				
793	0.416				
794	0.285				
795	0.204				
796	0.141				
797	0.105				
798	0.079				
799	0.059				
800	0.048				
801	0.035				
802	0.03				
803	0.018				
804	0.016				
805	0.014				
806	0.013				
807	0.012				
808	0.007				
809	0.004				
810	0.002				
811	0.006				
812	0.0				
813	0.004				
814	0.002				
815	0.002				
816	0.001				
817	0.001				
818	0.001				
819	0.0				
820	0.0				
821	0.001				
822	0.0				
823	0.0				
824	0.001				
825	0.0				
826	0.0				
827	0.0				
828	0.0				
829	0.0				
830	0.0				
831	0.0				
832	0.0				
833	0.0				
834	0.0				
835	0.0				
836	0.0				
837	0.0				
838	0.0				
839	0.0				
840	0.0				
841	0.0				
